ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,Total Credits,CGPA,Supplementary Appearances
21031A0101,0.0,13.5,0.0,13.5,0.0,22.5,0.0,12.5,0.0,15.5,0.0,12.5,0.0,20.0,110.0,0.0,*********************
21031A0102,7.13,19.5,5.77,19.5,6.94,25.5,6.47,21.5,7.26,21.5,6.98,21.5,7.78,23.0,152.0,6.93,*******
21031A0103,7.13,19.5,6.69,19.5,8.24,25.5,7.14,21.5,7.33,21.5,7.28,21.5,7.13,23.0,152.0,7.31,
21031A0104,8.23,19.5,7.77,19.5,8.0,25.5,8.67,21.5,9.16,21.5,8.95,21.5,8.67,24.0,153.0,8.5,
21031A0105,0.0,16.5,0.0,16.5,0.0,19.5,0.0,18.5,0.0,18.5,0.0,18.5,0.0,17.0,125.0,0.0,*********************
21031A0106,7.41,19.5,6.29,21.0,7.76,25.5,7.37,21.5,7.47,21.5,7.74,21.5,7.13,23.0,153.5,7.32,**
21031A0107,5.82,19.5,0.0,16.5,6.82,25.5,5.81,21.5,7.16,21.5,6.84,21.5,7.26,23.0,149.0,0.0,************
21031A0108,0.0,13.5,0.0,16.5,0.0,22.5,0.0,18.5,6.37,21.5,6.63,21.5,6.48,23.0,137.0,0.0,*******************
21031A0109,6.44,19.5,6.46,19.5,6.92,25.5,7.0,21.5,6.86,21.5,6.56,21.5,6.61,23.0,152.0,6.7,**
21031A0110,6.51,19.5,5.71,21.0,6.67,25.5,5.95,21.5,6.51,21.5,6.93,21.5,0.0,20.0,150.5,0.0,*********